Rank,Artist Name,In AuraDB,Status,Priority,Notes
76,"Fleetwood Mac",NO,❌ MISSING,MEDIUM,"Classic rock - medium priority"
77,"Khalid",NO,❌ MISSING,MEDIUM,"R&B artist - medium priority"
78,"Metro Boomin",NO,❌ MISSING,MEDIUM,"Hip-hop producer - medium priority"
79,"The Marías",NO,❌ MISSING,MEDIUM,"Indie pop - medium priority"
80,"James Arthur",NO,❌ MISSING,MEDIUM,"Pop singer-songwriter - medium priority"
81,"Luke Combs",NO,❌ MISSING,MEDIUM,"Country artist - medium priority"
82,"Grupo Frontera",NO,❌ MISSING,MEDIUM,"Regional Mexican - medium priority"
83,"A$AP Rocky",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
84,"Cigarettes After Sex",NO,❌ MISSING,LOW,"Ambient pop - low priority"
85,"Lil Wayne",NO,❌ MISSING,MEDIUM,"Hip-hop legend - medium priority"
86,"Nicki Minaj",NO,❌ MISSING,MEDIUM,"Hip-hop star - medium priority"
87,"Lil Tecca",NO,❌ MISSING,LOW,"Hip-hop artist - low priority"
88,"j-hope",NO,❌ MISSING,MEDIUM,"BTS member solo - medium priority"
89,"Harry Styles",YES,✅ LOADED,COMPLETE,"33.8M followers - fully loaded"
90,"Neton Vega",NO,❌ MISSING,LOW,"Regional Mexican - low priority"
91,"PARTYNEXTDOOR",NO,❌ MISSING,LOW,"R&B artist - low priority"
92,"Alan Walker",NO,❌ MISSING,MEDIUM,"EDM producer - medium priority"
93,"JENNIE",NO,❌ MISSING,MEDIUM,"BLACKPINK member - medium priority"
94,"Jimin",NO,❌ MISSING,MEDIUM,"BTS member solo - medium priority"
95,"NIKI",NO,❌ MISSING,LOW,"Indonesian R&B - low priority"
96,"21 Savage",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
97,"Lil Baby",NO,❌ MISSING,MEDIUM,"Hip-hop artist - medium priority"
98,"Lorde",NO,❌ MISSING,MEDIUM,"Alternative pop - medium priority"
99,"Green Day",NO,❌ MISSING,MEDIUM,"Punk rock legends - medium priority"
100,"Daniel Caesar",NO,❌ MISSING,MEDIUM,"R&B artist - medium priority" 
